key,Spanish,English,Русский
masterSlider,Volumen,Volume,Общая громкость
musicSlider,Volumen musica,Music volume ,Музыка
sfxSlider,Volumen sfx,Sfx volume,Эффекты
sala1Regalo,Haz click para abrir el regalo.,Click to open the gift.,"Нажмите, чтобы открыть подарок."
ObjetosNuevoPregunta,¿Compartes el juguete con tu hermano?,Do you share the toy with your brother?,Вы разделяете игрушку с твоим братом?
ObjetosNuevoRespuesta1,Si,Yes,И это
ObjetosNuevoRespuesta2,No,No,Нет
CalleOCasaPregunta,¿Salir a la calle a jugar con tu hermano o quedarte en casa?,Go out to play with your brother or stay at home?,"Выйди, чтобы играть с братом или оставаться дома?"
CalleOCasaRespuesta1,Calle,Street,Улица.
CalleOCasaRespuesta2,Casa,House,дом
HermanoPregunta,¿Invitar a tu hermano a jugar con tus amigos?,Invite your brother to play with your friends?,Пригласите своего брата играть со своими друзьями?
HermanoRespuesta1,Si,Yes,И это
HermanoRespuesta2,No,No,Нет
CalleOCasa2Pregunta,¿Salir a la calle a jugar con tu hermano o quedarte en casa?,Go out to play with your brother or stay at home?,"Выйди, чтобы играть с братом или оставаться дома?"
CalleOCasa2Respuesta1,Calle,Street,Улица.
CalleOCasa2Respuesta2,Casa,House,дом
QuienTeGustaPregunta,Contar quien tu gusta a:,Tell who you like to:,"Расскажите, кому вам нравится:"
QuienTeGustaRespuesta1,Tu  familia,Your family,Ваша семья
QuienTeGustaRespuesta2,Tus  amigos,Your friends,Твои друзья
HermanoOAmigosPregunta,¿Invitar a tu hermano a pasear con tus amigos?,Invite your brother to walk with your friends?,Пригласите своего брата ходить с друзьями?
HermanoOAmigosRespuesta1,Si,Yes,И это
HermanoOAmigosRespuesta2,No,No,Нет
DeclarartePregunta,¿Confesar tu amor a la chica que te gusta?,Confess your love to the girl you like?,"Признайтесь своей любви к девушке, которую вам нравится?"
DeclararteRespuesta1,Si,Yes,И это
DeclararteRespuesta2,No,No,Нет
LlamadaPregunta,¿Contestar llamada?,Answer call?,Ответить звонить?
LlamadaRespuesta1,Si,Yes,И это
LlamadaRespuesta2,No,No,Нет
JugarPregunta,¿Salir a pasear con tus amigos o jugar videojuegos?,Going out for a walk with your friends or play video games?,Выходите на прогулку с друзьями или играть в видеоигры?
JugarRespuesta1,Amigos,Friends,Друзья
JugarRespuesta2,Videojuegos,Video game,Видео игра.
ComprarPregunta,¿Comprar regalo de cumpleaños a tu madre o comprarte algo para ti?,Buy Birthday Gift to your mother or buy something for you?,Купить подарок на день рождения своей матери или купить что-нибудь для вас?
ComprarRespuesta1,Regalo  a  madre,Gift to Mother.,Подарок матери.
ComprarRespuesta2,Algo  para  ti,Something for you,Что-то для тебя
EstudiarOQuedarPregunta,¿Ir a estudiar o quedar con tus amigos?,Going to study or stay with your friends?,Собираюсь учиться или остаться с друзьями?
EstudiarOQuedarRespuesta1,Estudiar,To study,Учиться.
EstudiarOQuedarRespuesta2,Amigos,Friends,Друзья
ParejaHermanoTeTiraCañaPregunta,La pareja de tu hermano quiere ponerle los cuernos contigo:,Your brother's partner wants to put the horns with you:,Партнер вашего брата хочет поставить рога с собой:
ParejaHermanoTeTiraCañaRespuesta1,Aceptar,Accept,Принимать
ParejaHermanoTeTiraCañaRespuesta2,Decirle  a  tu  hermano,Tell your brother,Расскажи своему брату.
HablarPadresPregunta,¿Hablarle a tus padres sobre videojuegos o la escuela?,Talk to your parents about videogames or school?,Поговорите со своими родителями о видеоигры или в школе?
HablarPadresRespuesta1,Vdeojuegos,VDeojuegos,Vdeojuegos.
HablarPadresRespuesta2,Escuela,School,Школа.
